Threshold,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score
0.300,1319,10375,123,0,98.96%,0.915,1.000,0.955
0.325,1319,10402,96,0,99.19%,0.932,1.000,0.965
0.350,1319,10416,82,0,99.31%,0.941,1.000,0.970
0.375,1319,10435,63,0,99.47%,0.954,1.000,0.977
0.400,1319,10463,35,0,99.70%,0.974,1.000,0.987
0.425,1319,10490,8,0,99.93%,0.994,1.000,0.997
0.450,1304,10498,0,15,99.87%,1.000,0.989,0.994
0.475,1273,10498,0,46,99.61%,1.000,0.965,0.982
0.500,1247,10498,0,72,99.39%,1.000,0.945,0.972
0.525,1215,10498,0,104,99.12%,1.000,0.921,0.959
0.550,1176,10498,0,143,98.79%,1.000,0.892,0.943
0.575,1140,10498,0,179,98.49%,1.000,0.864,0.927
0.600,1109,10498,0,210,98.22%,1.000,0.841,0.914
0.625,1062,10498,0,257,97.83%,1.000,0.805,0.892
0.650,1025,10498,0,294,97.51%,1.000,0.777,0.875
0.675,978,10498,0,341,97.11%,1.000,0.741,0.852
0.700,933,10498,0,386,96.73%,1.000,0.707,0.829
0.725,874,10498,0,445,96.23%,1.000,0.663,0.797
0.750,830,10498,0,489,95.86%,1.000,0.629,0.772
0.775,775,10498,0,544,95.40%,1.000,0.588,0.740
